run_id,scenario,seed,duration_h,target,final_sev,ramp_min,onset_min,antecedent_dry_days,antecedent_precip_index,ramp_type,label_scheme,q_ref,obs_tau_depth,obs_tau_flow,n_rows,n_blk_cause,n_blk_obs_or,n_blk_obs_and,n_rain_obs_and,n_normal_obs_and,sensor_conduits,realism,parquet
s4_r000,S4,1826701615,168,G80F170_G80F160_l1,0.24151613128218175,240,1120,5,13.598200962129214,gradual,obs_and,0.001013771454323442,0.09878443769814406,0.00028920554054215347,10079,8859,8838,7051,0,3028,G80F140_G80F130_l1;G80F160_G80F140_l1;G80F170_G80F160_l1;G80F180_G80F170_l1;G80F190_G80F180_l1,"{""depth__node_G80F170"": {""snr_db"": 27.064050325929056, ""drift_frac"": 0.033995502405323036, ""resolution"": 0.01650000001, ""dropout_frac"": 0.009227105863676952}, ""flow__G80F160_G80F140_l1"": {""snr_db"": 20.63874545960652, ""drift_frac"": 0.01186079660830986, ""resolution"": 7.763616001331189e-05, ""dropout_frac"": 0.006250620101200516}, ""vel__G80F160_G80F140_l1"": {""snr_db"": 32.12219649846621, ""drift_frac"": 0.01731388430921124, ""resolution"": 9.115359632514701e-06, ""dropout_frac"": 0.006746701061613255}, ""ushear__G80F160_G80F140_l1"": {""snr_db"": 35.451005497516164, ""drift_frac"": 0.01771350850082612, ""resolution"": 6.377466165498274e-07, ""dropout_frac"": 0.00515924198829249}}",runs\s4_r000.parquet
s4_r001,S4,1367864807,120,G72F020_G72K020_l1,0.6302078509653561,480,1316,14,1.003300803553886,gradual,obs_and,0.0054224488985743025,0.10591051646672012,0.000282442017168427,7199,5806,5371,4954,0,2245,G72F011_G72K010_l1;G72F020_G72K020_l1;G72F660_G72F650_l1;G72F661_G72F660_l1;G72F665_G72F660_l1;G72F710_G72F700_l1;G72K020_G72K010_l1,"{""depth__node_G72F020"": {""snr_db"": 38.850441161568895, ""drift_frac"": 0.002508252008884715, ""resolution"": 0.03968814092668962, ""dropout_frac"": 0.006945409084595082}, ""flow__G72K020_G72K010_l1"": {""snr_db"": 29.077852507215013, ""drift_frac"": 0.019239552162696558, ""resolution"": 6.143477130108986e-05, ""dropout_frac"": 0.007778858174746493}, ""vel__G72K020_G72K010_l1"": {""snr_db"": 39.87220183594215, ""drift_frac"": 0.010798548959037813, ""resolution"": 8.314092618764851e-06, ""dropout_frac"": 0.008751215446589805}, ""ushear__G72K020_G72K010_l1"": {""snr_db"": 20.974556991863313, ""drift_frac"": 0.003342983899303337, ""resolution"": 5.156272083473981e-07, ""dropout_frac"": 0.009029031809973607}}",runs\s4_r001.parquet
s4_r002,S4,1097657232,120,G80F66Y_G80F310_l1,0.6982320741026722,240,1112,4,11.801318744703647,gradual,obs_and,0.0006298743901802808,0.2542890897738018,0.0,7199,6052,5195,5195,433,1571,G80F330_G80F320_l1;G80F340_G80F330_l1;G80F66X_G80F11B_l1;G80F66X_G80F66Y_l1;G80F66Y_G80F310_l1,"{""depth__node_G80F66Y"": {""snr_db"": 24.657080667662328, ""drift_frac"": 0.029503296861759117, ""resolution"": 0.019024293394457936, ""dropout_frac"": 0.008890123628281706}, ""flow__G80F66Y_G80F310_l1"": {""snr_db"": 30.82523692839488, ""drift_frac"": 0.009458284450222221, ""resolution"": 5.1199464771734407e-05, ""dropout_frac"": 0.006250868176135575}, ""vel__G80F66Y_G80F310_l1"": {""snr_db"": 34.647633157194335, ""drift_frac"": 0.03025626446101642, ""resolution"": 0.0005390646580302192, ""dropout_frac"": 0.010557021808584525}, ""ushear__G80F66Y_G80F310_l1"": {""snr_db"": 32.910253526887985, ""drift_frac"": 0.005506893867117152, ""resolution"": 4.665431805299268e-05, ""dropout_frac"": 0.012918460897346854}}",runs\s4_r002.parquet
s4_r003,S4,579362556,120,G61F460_G61F440_l1,0.8996387900014093,240,723,13,8.388387031500585,gradual,obs_and,0.0005060717985845694,0.1494593383041114,1.4694734997642381e-05,7199,6449,6470,6415,0,784,G61F430_G61F420_l1;G61F440_G61F430_l1;G61F460_G61F440_l1,"{""depth__node_G61F460"": {""snr_db"": 37.455380650811634, ""drift_frac"": 0.020970967578751467, ""resolution"": 0.038407609889532075, ""dropout_frac"": 0.01097374635366023}, ""flow__G61F440_G61F430_l1"": {""snr_db"": 34.26556965023962, ""drift_frac"": 0.015042846595291749, ""resolution"": 9.292756751733406e-06, ""dropout_frac"": 0.00750104181136269}, ""vel__G61F440_G61F430_l1"": {""snr_db"": 23.813991221616273, ""drift_frac"": 0.029587570087671253, ""resolution"": 1.3463754998840062e-06, ""dropout_frac"": 0.009306848173357411}, ""ushear__G61F440_G61F430_l1"": {""snr_db"": 21.536002244045175, ""drift_frac"": 0.0033136616384319643, ""resolution"": 1.0316925041167652e-07, ""dropout_frac"": 0.008612307264897902}}",runs\s4_r003.parquet
s4_r004,S4,661058652,120,G80F130_G80F120_l1,0.344472261757748,480,820,11,6.60892518983617,gradual,obs_and,0.001083338923849836,0.06429589574510242,8.247352142097112e-05,7199,6239,6369,5702,0,1497,G80F110_G80F090_l1;G80F120_G80F110_l1;G80F130_G80F120_l1;G80F140_G80F130_l1;G80F160_G80F140_l1,"{""depth__node_G80F130"": {""snr_db"": 34.50304701659043, ""drift_frac"": 0.016522312974590427, ""resolution"": 0.014800000009999998, ""dropout_frac"": 0.01264064453396305}, ""flow__G80F120_G80F110_l1"": {""snr_db"": 31.717588461808727, ""drift_frac"": 0.03434182404348287, ""resolution"": 5.4776127265517764e-05, ""dropout_frac"": 0.009167939991665508}, ""vel__G80F120_G80F110_l1"": {""snr_db"": 23.459227497283774, ""drift_frac"": 0.016389389553136808, ""resolution"": 3.076109295005309e-05, ""dropout_frac"": 0.009306848173357411}, ""ushear__G80F120_G80F110_l1"": {""snr_db"": 38.48927643809179, ""drift_frac"": 0.035190894866478965, ""resolution"": 2.1702743230928703e-06, ""dropout_frac"": 0.009445756355049312}}",runs\s4_r004.parquet
s4_r005,S4,87989972,144,G72K010_G72F010_l1,0.277794675230027,720,1384,14,12.455487454176062,gradual,obs_and,0.005436667589844225,0.015834017203076298,0.0008047550664650465,8639,6995,6677,5535,0,3104,G72F011_G72K010_l1;G72F012_G72F011_l1;G72F250_G72F010_l1;G72F252_G72F252_200957745_l1;G72F260_G72F250_l1;G72F550_G72F010_l1;G72K010_G72F010_l1;G72K560_G72K560_201188562_l1;G72F010_G71F200_l1,"{""depth__node_G72K010"": {""snr_db"": 39.96702752663149, ""drift_frac"": 0.031138718635440155, ""resolution"": 0.0074302402693901684, ""dropout_frac"": 0.00798703553652043}, ""flow__G72F010_G71F200_l1"": {""snr_db"": 35.936822377561, ""drift_frac"": 0.048296218336935565, ""resolution"": 0.0007612529212959649, ""dropout_frac"": 0.008334297951151754}, ""vel__G72F010_G71F200_l1"": {""snr_db"": 36.38503427967253, ""drift_frac"": 0.03130755103615643, ""resolution"": 4.955396115408377e-05, ""dropout_frac"": 0.009607593471466605}, ""ushear__G72F010_G71F200_l1"": {""snr_db"": 31.73806123723639, ""drift_frac"": 0.018912258574916043, ""resolution"": 2.6769576831964416e-06, ""dropout_frac"": 0.009376085195045724}}",runs\s4_r005.parquet
s4_r006,S4,161576974,120,G64F080_G64F070_l1,0.626309772206278,480,932,11,19.80616453116329,gradual,obs_and,0.010553997187867033,0.14377267202639832,0.0005866623084854923,7199,6190,6217,5695,0,1504,G64F060_G64F040_l1;G64F070_G64F060_l1;G64F080_G64F070_l1;G65F010_G64F080_l1;G65F020_G65F010_l1,"{""depth__node_G64F080"": {""snr_db"": 34.58899808537233, ""drift_frac"": 0.049515411327908224, ""resolution"": 0.05209122178449604, ""dropout_frac"": 0.009445756355049312}, ""flow__G64F070_G64F060_l1"": {""snr_db"": 27.862367670379484, ""drift_frac"": 0.009988254246974644, ""resolution"": 0.00011379983748882907, ""dropout_frac"": 0.010001389081816919}, ""vel__G64F070_G64F060_l1"": {""snr_db"": 29.287815790868475, ""drift_frac"": 0.004659465807752239, ""resolution"": 6.395831382414114e-06, ""dropout_frac"": 0.007778858174746493}, ""ushear__G64F070_G64F060_l1"": {""snr_db"": 28.695879660621475, ""drift_frac"": 0.019173341007758672, ""resolution"": 4.134197704368032e-07, ""dropout_frac"": 0.007084317266286984}}",runs\s4_r006.parquet
s4_r007,S4,35492827,144,G80F070_G80F060_l1,0.6139033923107956,720,1202,6,18.100310752737848,gradual,obs_and,0.0017881828086752385,0.13658825953718814,9.17017226779586e-05,8639,7319,7114,5526,0,3113,G80F040_G80F030_l1;G80F060_G80F040_l1;G80F070_G80F060_l1;G80F080_G80F070_l1;G80F090_G80F080_l1,"{""depth__node_G80F070"": {""snr_db"": 27.72838396267059, ""drift_frac"": 0.045250776881844625, ""resolution"": 0.01340000001, ""dropout_frac"": 0.008450052089362194}, ""flow__G80F060_G80F040_l1"": {""snr_db"": 29.88747346683489, ""drift_frac"": 0.03164354472144509, ""resolution"": 3.9568174638314184e-05, ""dropout_frac"": 0.008450052089362194}, ""vel__G80F060_G80F040_l1"": {""snr_db"": 24.03682598389717, ""drift_frac"": 0.008358099334443874, ""resolution"": 3.954830298796362e-06, ""dropout_frac"": 0.00787128139830999}, ""ushear__G80F060_G80F040_l1"": {""snr_db"": 24.06399370943052, ""drift_frac"": 0.03312244075322531, ""resolution"": 2.8075322845268504e-07, ""dropout_frac"": 0.008797314503993518}}",runs\s4_r007.parquet
s4_r008,S4,376383645,144,G80F240_G80F230_l1,0.20333343780337376,0,1434,8,1.984247839676081,instant,obs_and,1.2298550885690072e-05,0.0714150787492489,0.00035267137502322784,8639,7205,7119,1538,0,7101,G80F220_G80F210_l1;G80F230_G80F220_l1;G80F240_G80F230_l1,"{""depth__node_G80F240"": {""snr_db"": 30.0373716140559, ""drift_frac"": 0.004960619599190203, ""resolution"": 0.01980000001, ""dropout_frac"": 0.0069452482926264615}, ""flow__G80F230_G80F220_l1"": {""snr_db"": 25.299473418275497, ""drift_frac"": 0.033470807021008006, ""resolution"": 0.0002559059060126158, ""dropout_frac"": 0.00787128139830999}, ""vel__G80F230_G80F220_l1"": {""snr_db"": 24.178903325267136, ""drift_frac"": 0.002987722493139911, ""resolution"": 2.2828328630669138e-05, ""dropout_frac"": 0.008218543812941313}, ""ushear__G80F230_G80F220_l1"": {""snr_db"": 39.62935369300985, ""drift_frac"": 0.010880307779483856, ""resolution"": 1.5436322554913938e-06, ""dropout_frac"": 0.006134969325153374}}",runs\s4_r008.parquet
s4_r009,S4,1746484540,144,G74F130_G72F120_l1,0.2507452876799203,240,986,9,12.717931451330376,gradual,obs_and,0.0011128817844140585,0.16005676051408405,0.0006536621222214859,8639,7557,6832,484,0,8155,G72F350_G72F340_l1;G73F000_G72F120_l1;G73F001_G73F000_l1;G73F007_G73F000_l1;G73F010_G73F000_l1;G74F130_G72F120_l1;G74F140_G74F130_l1;G74F150_G74F140_l1;G72F120_G72F110_l1,"{""depth__node_G74F130"": {""snr_db"": 31.63178949373792, ""drift_frac"": 0.03179482862832594, ""resolution"": 0.03539780806424519, ""dropout_frac"": 0.005671952772311611}, ""flow__G72F120_G72F110_l1"": {""snr_db"": 29.719591895713982, ""drift_frac"": 0.03002076453797701, ""resolution"": 0.00037310242599326556, ""dropout_frac"": 0.00671374001620558}, ""vel__G72F120_G72F110_l1"": {""snr_db"": 26.564805602615113, ""drift_frac"": 0.04518882564590859, ""resolution"": 3.0660689518867405e-05, ""dropout_frac"": 0.008334297951151754}, ""ushear__G72F120_G72F110_l1"": {""snr_db"": 31.005788196524, ""drift_frac"": 0.002490890678443447, ""resolution"": 1.847636861557977e-06, ""dropout_frac"": 0.00798703553652043}}",runs\s4_r009.parquet
