run_id,scenario,seed,duration_h,target,final_sev,ramp_min,onset_min,antecedent_dry_days,antecedent_precip_index,ramp_type,label_scheme,k_loss_max,obs_tau_depth,obs_tau_flow,n_rows,n_blk_cause,n_blk_obs_or,n_blk_obs_and,n_blk_obs_depth,n_rain_obs_and,n_normal_obs_and,sensor_conduits,realism,parquet
s3_r000,S3,1887504395,72,G73F000_G72F120_l1,0.48607912400673237,240,1948,12,8.784595598875484,gradual,obs_and,3.7862342602373618,0.01,0.0007946212565791051,4319,2321,0,0,0,0,4319,G72F350_G72F340_l1;G73F000_G72F120_l1;G73F001_G73F000_l1;G73F002_G73F001_l1;G73F007_G73F000_l1;G73F008_G73F007_l1;G73F010_G73F000_l1;G73F020_G73F010_l1;G74F130_G72F120_l1;G74F140_G74F130_l1;G72F120_G72F110_l1,"{""depth__node_G73F000"": {""snr_db"": 36.22307917127153, ""drift_frac"": 0.02196148899718871, ""resolution"": 0.00045640771435383323, ""dropout_frac"": 0.01898587636026858}, ""flow__G72F120_G72F110_l1"": {""snr_db"": 21.892573745678582, ""drift_frac"": 0.04209350998849276, ""resolution"": 5.007544332246473e-05, ""dropout_frac"": 0.012039824033341051}, ""vel__G72F120_G72F110_l1"": {""snr_db"": 22.09982856734914, ""drift_frac"": 0.046410870574324026, ""resolution"": 7.690281083961581e-06, ""dropout_frac"": 0.015049780041676314}, ""ushear__G72F120_G72F110_l1"": {""snr_db"": 21.408936032760987, ""drift_frac"": 0.02296745938346057, ""resolution"": 5.342592899615984e-07, ""dropout_frac"": 0.008566797869877286}}",runs\s3_r000.parquet
s3_r001,S3,952714449,60,F74F380_F74F370_l1,0.47615621941361214,240,1551,2,7.683969384671771,gradual,obs_and,3.644151433672184,0.028568086744969107,0.0005286671848966273,3599,1997,0,0,0,0,3599,F74F370_F74F360_l1;F74F380_F74F370_l1;F74F390_F74F380_l1;F74F410_F74F390_l1,"{""depth__node_F74F380"": {""snr_db"": 22.549587148713936, ""drift_frac"": 0.01920992346167943, ""resolution"": 0.0016399402883787895, ""dropout_frac"": 0.015837732703528756}, ""flow__F74F370_F74F360_l1"": {""snr_db"": 37.12328078259355, ""drift_frac"": 0.049364565141321, ""resolution"": 0.00017106249574586746, ""dropout_frac"": 0.012503473186996388}, ""vel__F74F370_F74F360_l1"": {""snr_db"": 26.29936284238262, ""drift_frac"": 0.027099007701635175, ""resolution"": 1.6581666742566474e-05, ""dropout_frac"": 0.013614893025840511}, ""ushear__F74F370_F74F360_l1"": {""snr_db"": 36.503030225360355, ""drift_frac"": 0.04821219224414604, ""resolution"": 1.0477451819363115e-06, ""dropout_frac"": 0.01722700750208391}}",runs\s3_r001.parquet
s3_r002,S3,816107163,72,G60F120_G60F110_l1,0.4895422974338515,480,1551,10,3.492255179116235,gradual,obs_and,3.8377835500563884,0.01,0.0006141092927458693,4319,2669,1690,0,1690,0,4319,G60F090_G60F070_l1;G60F110_G60F090_l1;G60F120_G60F110_l1;G60F130_G60F120_l1;G60F140_G60F130_l1,"{""depth__node_G60F120"": {""snr_db"": 33.81337223840495, ""drift_frac"": 0.008730637947790587, ""resolution"": 0.0013138199923059183, ""dropout_frac"": 0.017365130817318823}, ""flow__G60F110_G60F090_l1"": {""snr_db"": 34.113796424832515, ""drift_frac"": 0.019968283753408162, ""resolution"": 0.00013428943850025653, ""dropout_frac"": 0.012039824033341051}, ""vel__G60F110_G60F090_l1"": {""snr_db"": 36.59086293514956, ""drift_frac"": 0.04347712316906471, ""resolution"": 9.828090339512163e-06, ""dropout_frac"": 0.01435517480898356}, ""ushear__G60F110_G60F090_l1"": {""snr_db"": 24.43665239971419, ""drift_frac"": 0.02404366491393784, ""resolution"": 6.250686419575534e-07, ""dropout_frac"": 0.010882148645519797}}",runs\s3_r002.parquet
s3_r003,S3,1220825538,60,G71F180_G71F170_l1,0.3118753529358541,0,1637,1,2.577147840958738,instant,obs_and,2.1118631530779863,0.022573795928230257,0.00026836936165439764,3599,1962,0,0,0,0,3599,G71F171_G71F170_l1;G71F172_G71F171_l1;G71F180_G71F170_l1;G71F170_G71F160_l1,"{""depth__node_G71F180"": {""snr_db"": 21.191066118712143, ""drift_frac"": 0.006442869602396845, ""resolution"": 0.001076539254297374, ""dropout_frac"": 0.014726312864684635}, ""flow__G71F170_G71F160_l1"": {""snr_db"": 35.56288937002048, ""drift_frac"": 0.0073905333778850335, ""resolution"": 7.449630471485812e-05, ""dropout_frac"": 0.012781328146707419}, ""vel__G71F170_G71F160_l1"": {""snr_db"": 22.102365784377835, ""drift_frac"": 0.009889891485793223, ""resolution"": 5.3724155484135355e-06, ""dropout_frac"": 0.019449847179772158}, ""ushear__G71F170_G71F160_l1"": {""snr_db"": 34.51983515003487, ""drift_frac"": 0.018706384626564022, ""resolution"": 3.4547732497744386e-07, ""dropout_frac"": 0.01722700750208391}}",runs\s3_r003.parquet
s3_r004,S3,1784267113,72,G71F070_G71F06R_l1,0.6774326569807552,480,1519,11,1.1937532353938307,gradual,obs_and,9.610792617254328,0.01,0.000526766410617654,4319,2729,2100,0,2100,0,4319,G71F060_G71F040_l1;G71F06R_G71F060_l1;G71F070_G71F06R_l1;G71F265_G71F070_l2;G71F280_G71F06R_l1;G71F290_G71F280_l1,"{""depth__node_G71F070"": {""snr_db"": 34.31435718041787, ""drift_frac"": 0.002984383088484577, ""resolution"": 0.0010034990057828045, ""dropout_frac"": 0.0118082889557768}, ""flow__G71F06R_G71F060_l1"": {""snr_db"": 30.80632490385341, ""drift_frac"": 0.047710822387988905, ""resolution"": 8.208650151252082e-05, ""dropout_frac"": 0.013429034498726558}, ""vel__G71F06R_G71F060_l1"": {""snr_db"": 21.071128511886453, ""drift_frac"": 0.030507774835250426, ""resolution"": 2.622592172725786e-05, ""dropout_frac"": 0.012502894188469553}, ""ushear__G71F06R_G71F060_l1"": {""snr_db"": 23.017233028992635, ""drift_frac"": 0.006648772245102175, ""resolution"": 2.6290590062797344e-06, ""dropout_frac"": 0.015049780041676314}}",runs\s3_r004.parquet
s3_r005,S3,1950138007,72,G73F020_G73F010_l1,0.2545023446609249,240,2010,12,0.23031638859425385,gradual,obs_and,1.799315976700496,0.01,8.248109633331098e-05,4319,2214,0,0,0,0,4319,G73F000_G72F120_l1;G73F001_G73F000_l1;G73F007_G73F000_l1;G73F010_G73F000_l1;G73F020_G73F010_l1;G73F030_G73F020_l1;G73F040_G73F030_l1,"{""depth__node_G73F020"": {""snr_db"": 36.92537883886313, ""drift_frac"": 0.0005757909714856346, ""resolution"": 0.0004674361574083825, ""dropout_frac"": 0.010882148645519797}, ""flow__G73F010_G73F000_l1"": {""snr_db"": 39.03824468786344, ""drift_frac"": 0.0404232698758313, ""resolution"": 3.66835112581606e-05, ""dropout_frac"": 0.014818244964112062}, ""vel__G73F010_G73F000_l1"": {""snr_db"": 26.659101819343345, ""drift_frac"": 0.020289574636636016, ""resolution"": 3.349016035353469e-06, ""dropout_frac"": 0.0118082889557768}, ""ushear__G73F010_G73F000_l1"": {""snr_db"": 35.521939686667636, ""drift_frac"": 0.0012443357510044163, ""resolution"": 2.4709912726718097e-07, ""dropout_frac"": 0.014586709886547812}}",runs\s3_r005.parquet
s3_r006,S3,644153130,72,G70F010_G65F130_l1,0.350827454926562,480,2028,4,15.141757079872846,gradual,obs_and,2.3729015031208887,0.013411438064509994,0.00030497133154745666,4319,2154,0,0,0,0,4319,G65F120_G65F110_l1;G65F130_G65F120_l1;G70F010_G65F130_l1;G70F020_G70F010_l1;G70F030_G70F020_l1;G70S010_G70F010_l1;G70S020_G70S010_l1,"{""depth__node_G70F010"": {""snr_db"": 24.847143717986317, ""drift_frac"": 0.03785439269968212, ""resolution"": 0.0010046405963621047, ""dropout_frac"": 0.012734429266033805}, ""flow__G65F130_G65F120_l1"": {""snr_db"": 38.374991423867414, ""drift_frac"": 0.027911723934577384, ""resolution"": 0.00011589928865465042, ""dropout_frac"": 0.015975920351933317}, ""vel__G65F130_G65F120_l1"": {""snr_db"": 28.02308668637886, ""drift_frac"": 0.01979953902841544, ""resolution"": 8.64426472583493e-06, ""dropout_frac"": 0.010650613567955545}, ""ushear__G65F130_G65F120_l1"": {""snr_db"": 31.742124777771316, ""drift_frac"": 0.0003584861908014159, ""resolution"": 5.705508807255152e-07, ""dropout_frac"": 0.012502894188469553}}",runs\s3_r006.parquet
s3_r007,S3,545996758,72,G72K020_G72K010_l1,0.8273193797613472,480,1559,4,6.515100720689848,gradual,obs_and,33.53611885941633,0.01793193477384797,0.00030891365004524177,4319,2701,2163,12,2163,0,4307,G72F011_G72K010_l1;G72F012_G72F011_l1;G72F250_G72F010_l1;G72F550_G72F010_l1;G72F660_G72F650_l1;G72K020_G72K010_l1;G72K010_G72F010_l1,"{""depth__node_G72K020"": {""snr_db"": 24.47281688003714, ""drift_frac"": 0.01628775180172462, ""resolution"": 0.00138484799645071, ""dropout_frac"": 0.01412363973141931}, ""flow__G72K010_G72F010_l1"": {""snr_db"": 32.72792838228318, ""drift_frac"": 0.045188429435700145, ""resolution"": 6.212364194559719e-05, ""dropout_frac"": 0.01620745542949757}, ""vel__G72K010_G72F010_l1"": {""snr_db"": 24.325369667087067, ""drift_frac"": 0.04059900820548067, ""resolution"": 6.319201193407379e-05, ""dropout_frac"": 0.013660569576290808}, ""ushear__G72K010_G72F010_l1"": {""snr_db"": 29.967543235963827, ""drift_frac"": 0.010436993443348613, ""resolution"": 3.6602334887333425e-06, ""dropout_frac"": 0.010419078490391294}}",runs\s3_r007.parquet
s3_r008,S3,1139029993,72,G63F040_G63F030_l1,0.5114245788087296,0,2118,9,9.24020958372749,instant,obs_and,4.189254740858989,0.01,0.0015123340757638168,4319,2201,0,0,0,0,4319,G63F020_G63F010_l1;G63F030_G63F020_l1;G63F040_G63F030_l1;G63F060_G63F040_l1;G63F070_G63F060_l1;G63S021_G63F020_l1,"{""depth__node_G63F040"": {""snr_db"": 32.73281999130191, ""drift_frac"": 0.023100523959318726, ""resolution"": 0.0012234451317957567, ""dropout_frac"": 0.012965964343598054}, ""flow__G63F030_G63F020_l1"": {""snr_db"": 26.17784598461037, ""drift_frac"": 0.01888551647558294, ""resolution"": 0.00013486984092434657, ""dropout_frac"": 0.012734429266033805}, ""vel__G63F030_G63F020_l1"": {""snr_db"": 26.948589075045746, ""drift_frac"": 0.02905708086691613, ""resolution"": 7.808518514965695e-06, ""dropout_frac"": 0.010650613567955545}, ""ushear__G63F030_G63F020_l1"": {""snr_db"": 33.60174841810668, ""drift_frac"": 0.014440758516987229, ""resolution"": 5.068980582542041e-07, ""dropout_frac"": 0.010187543412827044}}",runs\s3_r008.parquet
s3_r009,S3,1264398150,48,G65F040_G65F030_l1,0.5223987899681755,0,1622,6,16.75225181619233,instant,obs_and,4.383986045895978,0.011181462410552971,0.0004194063501485346,2879,1257,0,0,0,0,2879,G65F020_G65F010_l1;G65F030_G65F020_l1;G65F040_G65F030_l1;G65F060_G65F040_l1;G65F070_G65F060_l1,"{""depth__node_G65F040"": {""snr_db"": 27.61207507139221, ""drift_frac"": 0.04188062954048083, ""resolution"": 0.0011488253058048901, ""dropout_frac"": 0.027092740534907955}, ""flow__G65F030_G65F020_l1"": {""snr_db"": 35.26041283099492, ""drift_frac"": 0.007942773917458646, ""resolution"": 0.00011189775417190727, ""dropout_frac"": 0.019451198332754428}, ""vel__G65F030_G65F020_l1"": {""snr_db"": 34.658543579829434, ""drift_frac"": 0.007880410814251526, ""resolution"": 6.829252196037078e-06, ""dropout_frac"": 0.02153525529697812}, ""ushear__G65F030_G65F020_l1"": {""snr_db"": 21.7493314557196, ""drift_frac"": 0.033645445184700216, ""resolution"": 4.391581168806627e-07, ""dropout_frac"": 0.014935741576936437}}",runs\s3_r009.parquet
