conduit,from-to,slope,D_m,length_m,V_mean_dry,V_p10_dry,Q_mean_Ls,Q_max_Ls,tau_full_Pa
G72F550_G72F010_l1,,0.01574,0.5,47.7,0.032,0.018,0.72,0.85,19.3
G73F510_G73F500_l1,,0.01825,0.45,51,0.06,0.013,1.31,2.7,20.14
G72F020_G72K020_l1,,-0.01363,1.6875,16.1,0.069,0.024,4.13,5.68,0
G72F030_G72F020_l1,,0.00667,1.6875,80.8,0.074,0.025,4.03,5.65,0
G72K010_G72F010_l1,,0.00245,1.6875,4.5,0.125,0.06,4.15,5.68,0
G80F240_G80F230_l1,,0.02745,0.3,100.9,0.127,0,1.26,27.64,20.19
G74F130_G72F120_l1,,0.01291,0.7,14.7,0.142,0.115,0.94,1.13,22.15
G80F66Y_G80F310_l1,,0.00702,0.2,4.1,0.154,0.003,0.55,4.33,3.44
G61F440_G61F430_l1,,0.00132,0.3,75.7,0.175,0.121,0.53,0.93,0.97
G61F460_G61F440_l1,,0.00535,0.3,71,0.183,0.126,0.52,0.9,3.94
G61F080_G60F61Y_l1,,0.00887,0.9,75.5,0.186,0.088,1.22,2.23,0
G80F190_G80F180_l1,,0.01323,0.2,89.9,0.187,0.023,1.13,13.01,6.49
G80F180_G80F170_l1,,0.00163,0.3,61.3,0.189,0.066,1.13,8.58,1.2
G72K020_G72K010_l1,,0.00165,1.6875,36.4,0.193,0.112,4.13,5.66,0
G80F230_G80F220_l1,,0.02607,0.25,95.1,0.196,0,1.19,25.6,15.99
G61F011_G61F010_l1,,0.03125,0.35,8.3,0.206,0.116,0.58,1.03,26.82
G73F000_G72F120_l1,,0.00438,1,63.9,0.208,0.145,2.2,3.53,10.74
G70S010_G70F010_l1,,0.00801,0.2,69.9,0.21,0.185,1.36,1.85,3.93
G72F010_G71F200_l1,,-0.00109,1.6875,36.8,0.219,0.122,5.07,6.77,0
G80F070_G80F060_l1,,0.00132,0.3,15.1,0.219,0.116,1.24,3.89,0.97
G80F030_G80F020_l1,,0.00187,0.3,80.3,0.22,0.12,1.22,3.38,1.37
G80F080_G80F070_l1,,0.00256,0.3,82.1,0.227,0.116,1.24,4.19,1.88
G80F220_G80F210_l1,,0.02006,0.25,85.2,0.233,0,1.15,20.69,12.3
G80F160_G80F140_l1,,0.00384,0.3,70.4,0.237,0.089,1.13,7.76,2.82
G80F040_G80F030_l1,,0.00224,0.3,89.4,0.239,0.127,1.23,3.65,1.65
G80F060_G80F040_l1,,0.00211,0.3,85.5,0.239,0.126,1.24,3.94,1.55
G64F080_G64F070_l1,,0.00025,0.6,81,0.24,0.165,7.46,11.42,0.36
G71F140_G71F130_l1,,-0.00018,1.6875,56.8,0.24,0.153,5.22,6.98,0
G80F090_G80F080_l1,,0.00227,0.3,75,0.24,0.118,1.22,4.59,1.67
G80F140_G80F130_l1,,0.00432,0.3,69.5,0.243,0.099,1.14,6.71,3.18
